"scenario","country","year","cases","deaths","dalys","YLL"
"routine-default","AGO",2000,348.12,135.77,5762.97,0
"routine-default","AGO",2001,357.72,139.49,5910.97,0
"routine-default","AGO",2002,367.56,143.35,6072.47,0
"routine-default","AGO",2003,378.96,147.76,6247.63,0
"routine-default","AGO",2004,388.56,151.51,6391.08,0
"routine-default","AGO",2005,398.04,155.21,7022.25,0
"routine-default","AGO",2006,412.32,160.8,7262.98,0
"routine-default","AGO",2007,423.72,165.26,7450.54,0
"routine-default","AGO",2008,431.04,168.07,7564.22,0
"routine-default","AGO",2009,444.6,173.36,7792.1,0
"routine-default","AGO",2010,464.64,181.19,8561.82,0
"routine-default","AGO",2011,482.16,188.01,8866.09,0
"routine-default","AGO",2012,494.76,192.96,9092.94,0
"routine-default","AGO",2013,510.84,199.2,9373.64,0
"routine-default","AGO",2014,526.92,205.46,9656.79,0
"routine-default","AGO",2015,537.24,209.48,10191.72,0
"routine-default","AGO",2016,547.08,213.43,10353.56,0
"routine-default","AGO",2017,558.12,217.68,10561.81,0
"routine-default","AGO",2018,574.08,223.87,10843.35,0
"routine-default","AGO",2019,585.84,228.48,11049.77,0
"routine-default","AGO",2020,600.24,234.1,11380.04,0
"routine-default","AGO",2021,617.52,240.82,11699.88,0
"routine-default","AGO",2022,638.16,248.86,12072.62,0
"routine-default","AGO",2023,660,257.38,12480.62,0
"routine-default","AGO",2024,678.84,264.74,12820.3,0
"routine-default","AGO",2025,696.36,271.6,13413.65,0
"routine-default","AGO",2026,711.6,277.51,13674.6,0
"routine-default","AGO",2027,725.4,282.94,13898.73,0
"routine-default","AGO",2028,737.76,287.7,14087.4,0
"routine-default","AGO",2029,748.44,291.88,14246.8,0
"routine-default","AGO",2030,757.2,295.32,14503.14,0
"routine-default","AGO",2031,765.6,298.55,14601.26,0
"routine-default","AGO",2032,773.76,301.78,14701.31,0
"routine-default","AGO",2033,782.4,305.16,14801.61,0
"routine-default","AGO",2034,790.44,308.28,14884.96,0
"routine-default","AGO",2035,798.48,311.43,15116.29,0
"routine-default","AGO",2036,805.44,314.12,15186.64,0
"routine-default","AGO",2037,813.36,317.21,15260.88,0
"routine-default","AGO",2038,820.44,319.91,15332.14,0
"routine-default","AGO",2039,828,322.95,15396.17,0
"routine-default","AGO",2040,834.72,325.49,15596.53,0
"routine-default","AGO",2041,841.2,328.07,15641.22,0
"routine-default","AGO",2042,848.04,330.71,15699.97,0
"routine-default","AGO",2043,853.8,332.93,15733.35,0
"routine-default","AGO",2044,860.16,335.51,15775.83,0
"routine-default","AGO",2045,865.92,337.7,15933.57,0
"routine-default","AGO",2046,871.44,339.86,15953.28,0
"routine-default","AGO",2047,877.32,342.19,15986.43,0
"routine-default","AGO",2048,881.52,343.83,15982.49,0
"routine-default","AGO",2049,886.32,345.66,15989.26,0
"routine-default","AGO",2050,890.04,347.17,16119.25,0
"routine-default","AGO",2051,894.72,348.99,16118.63,0
"routine-default","AGO",2052,898.2,350.31,16097.54,0
"routine-default","AGO",2053,901.92,351.8,16077.79,0
"routine-default","AGO",2054,905.16,352.99,16055.37,0
"routine-default","AGO",2055,908.16,354.16,16153.21,0
"routine-default","AGO",2056,911.4,355.39,16116.59,0
"routine-default","AGO",2057,913.2,356.11,16065.92,0
"routine-default","AGO",2058,915.12,356.86,16014.33,0
"routine-default","AGO",2059,916.44,357.38,15949.87,0
"routine-default","AGO",2060,918.24,358.11,16013.54,0
"routine-default","AGO",2061,919.56,358.59,15947.61,0
"routine-default","AGO",2062,920.16,358.88,15867.61,0
"routine-default","AGO",2063,920.4,358.95,15780.29,0
"routine-default","AGO",2064,920.28,358.89,15692.95,0
"routine-default","AGO",2065,920.16,358.89,15723.92,0
"routine-default","AGO",2066,920.16,358.89,15633.25,0
"routine-default","AGO",2067,919.08,358.46,15526.2,0
"routine-default","AGO",2068,917.76,357.94,15417.11,0
"routine-default","AGO",2069,917.16,357.7,15313.05,0
"routine-default","AGO",2070,915.72,357.12,15340.17,0
"routine-default","AGO",2071,914.16,356.56,15220.94,0
"routine-default","AGO",2072,912.72,355.94,15110.62,0
"routine-default","AGO",2073,911.04,355.3,15006.5,0
"routine-default","AGO",2074,910.68,355.24,14916.14,0
"routine-default","AGO",2075,909,354.52,14935.52,0
"routine-default","AGO",2076,906.6,353.6,14826.22,0
"routine-default","AGO",2077,905.88,353.3,14736.81,0
"routine-default","AGO",2078,903.96,352.54,14631.14,0
"routine-default","AGO",2079,903,352.13,14554.04,0
"routine-default","AGO",2080,900.6,351.2,14576.36,0
"routine-default","AGO",2081,899.76,350.84,14490.08,0
"routine-default","AGO",2082,898.08,350.24,14403.33,0
"routine-default","AGO",2083,895.8,349.33,14308.75,0
"routine-default","AGO",2084,894.6,348.84,14231.44,0
"routine-default","AGO",2085,893.04,348.3,14283.33,0
"routine-default","AGO",2086,890.4,347.29,14186.49,0
"routine-default","AGO",2087,889.2,346.8,14115.64,0
